,Tag,Product Type,Product/Title,Plot/Notes,,
15359,Technology Consumer,Technology,"Apple Office Telephone, Full Size",Consumer,,
14270,Technology Home Office,Technology,"Nokia Headset, Full Size",Home Office,,
18580,Technology Consumer,Technology,"Canon Copy Machine, High-Speed",Consumer,,
17370,Technology Home Office,Technology,"Sharp Personal Copier, Laser",Home Office,,
19438,Technology Consumer,Technology,"Logitech Memory Card, Bluetooth",Consumer,,
15884,Technology Home Office,Technology,"Okidata Calculator, Durable",Home Office,,
11873,Office Supplies Consumer,Office Supplies,"Breville Coffee Grinder, Black",Consumer,,
15161,Technology Consumer,Technology,"Nokia Signal Booster, with Caller ID",Consumer,,
11265,Office Supplies Corporate,Office Supplies,"Cardinal Hole Reinforcements, Durable",Corporate,,
9667,Furniture Consumer,Furniture,"Advantus Frame, Durable",Consumer,,
17130,Technology Corporate,Technology,"Hewlett Fax and Copier, High-Speed",Corporate,,
4613,Furniture Consumer,Furniture,"Dania Classic Bookcase, Pine",Consumer,,
19073,Technology Consumer,Technology,"HP Fax Machine, Color",Consumer,,
19314,Technology Home Office,Technology,"Konica Phone, Red",Home Office,,
11122,Office Supplies Corporate,Office Supplies,"Tenex Folders, Blue",Corporate,,
11159,Office Supplies Consumer,Office Supplies,"Boston Sketch Pad, Fluorescent",Consumer,,
14698,Technology Consumer,Technology,JBL Micro Wireless Portable Bluetooth Speaker,Consumer,,
21130,Technology Consumer,Technology,"Samsung Audio Dock, Cordless",Consumer,,
5530,Furniture Corporate,Furniture,"Dania Classic Bookcase, Traditional",Corporate,,
13136,Technology Corporate,Technology,"Apple Smart Phone, Full Size",Corporate,,
15018,Technology Home Office,Technology,"Motorola Office Telephone, Cordless",Home Office,,
9872,Furniture Consumer,Furniture,"Eldon Clock, Duo Pack",Consumer,,
707,Furniture Consumer,Furniture,"Global Stack Chair without Arms, Black",Consumer,,
7649,Furniture Corporate,Furniture,"Safco Corner Shelving, Metal",Corporate,,
2804,Furniture Home Office,Furniture,"Deflect-O Stacking Tray, Durable",Home Office,,
14095,Technology Consumer,Technology,"Samsung Office Telephone, VoIP",Consumer,,
2957,Furniture Home Office,Furniture,"Safco Classic Bookcase, Metal",Home Office,,
17200,Technology Corporate,Technology,"Cisco Speaker Phone, Cordless",Corporate,,
3603,Furniture Home Office,Furniture,"Dania Library with Doors, Traditional",Home Office,,
2681,Furniture Corporate,Furniture,"Sauder Stackable Bookrack, Pine",Corporate,,
8255,Furniture Consumer,Furniture,"Eldon 200 Class Desk Accessories, Smoke",Consumer,,
6651,Furniture Corporate,Furniture,"Barricks Round Table, Fully Assembled",Corporate,,
8619,Furniture Corporate,Furniture,"Advantus Stacking Tray, Durable",Corporate,,
17934,Technology Home Office,Technology,"HP Personal Copier, High-Speed",Home Office,,
21926,Technology Corporate,Technology,"Samsung Smart Phone, Cordless",Corporate,,
6381,Furniture Corporate,Furniture,"Master Giant Foot Doorstop, Safety Yellow",Corporate,,
14378,Technology Consumer,Technology,"Samsung Headset, VoIP",Consumer,,
12144,Technology Home Office,Technology,Jabra SPEAK 410,Home Office,,
2258,Furniture Corporate,Furniture,"Eldon Door Stop, Black",Corporate,,
18290,Technology Corporate,Technology,"Nokia Headset, with Caller ID",Corporate,,
21629,Technology Corporate,Technology,"SanDisk Router, Bluetooth",Corporate,,
12270,Technology Consumer,Technology,"SanDisk Mouse, Programmable",Consumer,,
2555,Furniture Home Office,Furniture,"SAFCO Rocking Chair, Black",Home Office,,
394,Furniture Corporate,Furniture,"Tenex Door Stop, Black",Corporate,,
13556,Technology Consumer,Technology,"Canon Fax and Copier, Color",Consumer,,
20642,Technology Consumer,Technology,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Consumer,,
7545,Furniture Home Office,Furniture,"Novimex Chairmat, Black",Home Office,,
1330,Furniture Consumer,Furniture,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Consumer,,
7050,Furniture Corporate,Furniture,"Bush Library with Doors, Metal",Corporate,,
13321,Technology Corporate,Technology,Avaya IP Phone 1140E VoIP phone,Corporate,,
21069,Technology Consumer,Technology,"Brother Ink, Color",Consumer,,
6854,Furniture Consumer,Furniture,"Office Star Rocking Chair, Set of Two",Consumer,,
1418,Furniture Corporate,Furniture,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Corporate,,
21257,Technology Consumer,Technology,"Enermax Keyboard, USB",Consumer,,
1559,Furniture Consumer,Furniture,"Dania Library with Doors, Metal",Consumer,,
22207,Technology Corporate,Technology,"Memorex Mouse, Erganomic",Corporate,,
7402,Furniture Corporate,Furniture,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Corporate,,
9256,Furniture Consumer,Furniture,"Rubbermaid Frame, Erganomic",Consumer,,
20144,Technology Consumer,Technology,"Brother Copy Machine, High-Speed",Consumer,,
19119,Technology Corporate,Technology,"Cisco Office Telephone, Full Size",Corporate,,
6075,Furniture Consumer,Furniture,"SAFCO Chairmat, Set of Two",Consumer,,
21411,Technology Consumer,Technology,"Nokia Speaker Phone, Cordless",Consumer,,
6033,Furniture Corporate,Furniture,"Advantus Stacking Tray, Black",Corporate,,
1265,Furniture Consumer,Furniture,"Hon Conference Table, Fully Assembled",Consumer,,
18826,Technology Corporate,Technology,"Nokia Speaker Phone, VoIP",Corporate,,
2959,Furniture Consumer,Furniture,Safco Contoured Stacking Chairs,Consumer,,
20386,Technology Consumer,Technology,GE DSL Phone Line Filter,Consumer,,
5868,Furniture Consumer,Furniture,"Ikea Corner Shelving, Traditional",Consumer,,
13876,Technology Corporate,Technology,"Enermax Router, Bluetooth",Corporate,,
9440,Furniture Consumer,Furniture,"Harbour Creations Rocking Chair, Black",Consumer,,
19647,Technology Consumer,Technology,KeyTronic KT800P2 - Keyboard - Black,Consumer,,
15749,Technology Corporate,Technology,Belkin Standard 104 key USB Keyboard,Corporate,,
11775,Office Supplies Home Office,Office Supplies,"Harbour Creations File Folder Labels, Adjustable",Home Office,,
2270,Furniture Consumer,Furniture,"Novimex Steel Folding Chair, Red",Consumer,,
14314,Technology Consumer,Technology,Plantronics Calisto P620-M USB Wireless Speakerphone System,Consumer,,
5933,Furniture Consumer,Furniture,"Bevis Round Table, Fully Assembled",Consumer,,
5557,Furniture Corporate,Furniture,"Rubbermaid Light Bulb, Durable",Corporate,,
874,Furniture Corporate,Furniture,"Deflect-O Light Bulb, Duo Pack",Corporate,,
107,Car,Car,"BMW """"""Newfangled Idea""""""","No one knew how big the Internet would become, as shown in a 1994 clip of Today show hosts Katie Couric and Bryant Gumbel. 21 years later, the two are in an all-electric BMW i3, which is made in a wind-powered factory.[21]",,
1562,Furniture Corporate,Furniture,"Global Wood Trimmed Manager's Task Chair, Khaki",Corporate,,
8691,Furniture Corporate,Furniture,"Safco Library with Doors, Metal",Corporate,,
3193,Furniture Consumer,Furniture,"SAFCO Bag Chairs, Red",Consumer,,
15548,Technology Consumer,Technology,Polycom SoundStation2 EX Conference phone,Consumer,,
11817,Office Supplies Corporate,Office Supplies,"Fiskars Ruler, Easy Grip",Corporate,,
5133,Furniture Corporate,Furniture,"Harbour Creations Executive Leather Armchair, Adjustable",Corporate,,
8487,Furniture Consumer,Furniture,"Dania Corner Shelving, Mobile",Consumer,,
18398,Technology Consumer,Technology,"Brother Ink, Color",Consumer,,
7341,Furniture Consumer,Furniture,"Barricks Wood Table, with Bottom Storage",Consumer,,
8485,Furniture Corporate,Furniture,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Corporate,,
19331,Technology Consumer,Technology,Spigen Samsung Galaxy S5 Case Wallet,Consumer,,
4242,Furniture Consumer,Furniture,"Sauder 3-Shelf Cabinet, Metal",Consumer,,
7715,Furniture Consumer,Furniture,"Eldon Stackable Tray, Side-Load, Legal, Smoke",Consumer,,
4276,Furniture Corporate,Furniture,"Hon Executive Leather Armchair, Adjustable",Corporate,,
12933,Technology Corporate,Technology,"Sharp Copy Machine, Laser",Corporate,,
4390,Furniture Consumer,Furniture,"SAFCO Swivel Stool, Black",Consumer,,
20325,Technology Home Office,Technology,"Konica Receipt Printer, Red",Home Office,,
18308,Technology Consumer,Technology,"Belkin Mouse, Erganomic",Consumer,,
18753,Technology Corporate,Technology,"Apple Headset, Full Size",Corporate,,
11082,Office Supplies Corporate,Office Supplies,"Wilson Jones 3-Hole Punch, Economy",Corporate,,
12592,Technology Consumer,Technology,Adtran 1202752G1,Consumer,,
17314,Technology Corporate,Technology,"Panasonic Calculator, Durable",Corporate,,
22165,Technology Home Office,Technology,"Konica Inkjet, White",Home Office,,
316,,Film,F9 Trailer,,,
14723,Technology Consumer,Technology,Polycom SoundStation2 EX Conference phone,Consumer,,
18761,Technology Consumer,Technology,"StarTech Card Printer, White",Consumer,,
9598,Furniture Corporate,Furniture,"Eldon Door Stop, Black",Corporate,,
10397,Office Supplies Consumer,Office Supplies,"Stanley Markers, Fluorescent",Consumer,,
19419,Technology Home Office,Technology,"Canon Copy Machine, High-Speed",Home Office,,
17676,Technology Consumer,Technology,"Logitech Mouse, Erganomic",Consumer,,
2887,Furniture Consumer,Furniture,"Tenex Clock, Durable",Consumer,,
5673,Furniture Consumer,Furniture,Chromcraft Rectangular Conference Tables,Consumer,,
19246,Technology Corporate,Technology,"Cisco Headset, Full Size",Corporate,,
6364,Furniture Corporate,Furniture,Balt Solid Wood Round Tables,Corporate,,
21017,Technology Home Office,Technology,"Okidata Inkjet, Wireless",Home Office,,
4590,Furniture Consumer,Furniture,"Hon Conference Table, Rectangular",Consumer,,
6047,Furniture Consumer,Furniture,"Office Star Swivel Stool, Adjustable",Consumer,,
10847,Office Supplies Corporate,Office Supplies,"Contico 72""H Heavy-Duty Storage System",Corporate,,
345,Food,Food,"Heinz """"""Weiner Stampede""""""","A pack of weiner dogs, dressed like hot dogs, run in slow motion towards humans in Heinz Ketchup and Mustard bottle costumes.[62]",,
2218,Furniture Corporate,Furniture,"Hon Rocking Chair, Adjustable",Corporate,,
13219,Technology Consumer,Technology,"StarTech Inkjet, Wireless",Consumer,,
1888,Furniture Corporate,Furniture,"Dania Library with Doors, Metal",Corporate,,
4043,Furniture Home Office,Furniture,"Master Caster Door Stop, Gray",Home Office,,
6426,Furniture Corporate,Furniture,"Deflect-O Light Bulb, Erganomic",Corporate,,
10035,Furniture Corporate,Furniture,"Dania Classic Bookcase, Mobile",Corporate,,
5528,Furniture Consumer,Furniture,"Advantus Frame, Durable",Consumer,,
2478,Furniture Consumer,Furniture,"Office Star Chairmat, Red",Consumer,,
9232,Furniture Corporate,Furniture,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Corporate,,
2125,Furniture Corporate,Furniture,"Chromcraft Computer Table, Adjustable Height",Corporate,,
10312,Office Supplies Consumer,Office Supplies,"Eldon File Cart, Single Width",Consumer,,
12870,Technology Consumer,Technology,"Samsung Speaker Phone, Cordless",Consumer,,
5028,Furniture Consumer,Furniture,"Novimex Bag Chairs, Red",Consumer,,
21892,Technology Consumer,Technology,"Brother Ink, Laser",Consumer,,
12471,Technology Home Office,Technology,"Nokia Office Telephone, with Caller ID",Home Office,,
15897,Technology Consumer,Technology,"Canon Fax and Copier, High-Speed",Consumer,,
19265,Technology Corporate,Technology,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,Corporate,,
7315,Furniture Consumer,Furniture,Chromcraft Round Conference Tables,Consumer,,
12576,Technology Consumer,Technology,"Logitech Numeric Keypad, Programmable",Consumer,,
20037,Technology Home Office,Technology,Nortel Networks T7316 E Nt8 B27,Home Office,,
1790,Furniture Consumer,Furniture,"Advantus Door Stop, Erganomic",Consumer,,
9798,Furniture Consumer,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Consumer,,
10739,Office Supplies Corporate,Office Supplies,"Stiletto Trimmer, Steel",Corporate,,
1400,Furniture Home Office,Furniture,"Safco Library with Doors, Traditional",Home Office,,
15186,Technology Consumer,Technology,"Brother Wireless Fax, Color",Consumer,,
15821,Technology Consumer,Technology,"Sharp Wireless Fax, High-Speed",Consumer,,
10256,Loans,Loans,"Rocket Mortgage """"""Translator""""""","Keegan-Michael Key helps translate for people the words of a hair stylist, a waiter, Big Sean's rap music and a loan officer.[112][152][152]",,
2592,Furniture Consumer,Furniture,"Novimex Rocking Chair, Set of Two",Consumer,,
16864,Technology Consumer,Technology,"Samsung Smart Phone, with Caller ID",Consumer,,
4068,Furniture Consumer,Furniture,"Deflect-O Clock, Duo Pack",Consumer,,
20808,Technology Consumer,Technology,"Enermax Flash Drive, Bluetooth",Consumer,,
6608,Furniture Consumer,Furniture,"Dania Floating Shelf Set, Mobile",Consumer,,
10637,Office Supplies Consumer,Office Supplies,"Ibico Index Tab, Clear",Consumer,,
7401,Furniture Corporate,Furniture,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Corporate,,
8538,Furniture Home Office,Furniture,"Rubbermaid Frame, Black",Home Office,,
16789,Technology Consumer,Technology,"Belkin Flash Drive, USB",Consumer,,
19744,Technology Corporate,Technology,"Hewlett Ink, Laser",Corporate,,
13354,Technology Consumer,Technology,"Samsung Smart Phone, Cordless",Consumer,,
15422,Technology Consumer,Technology,Samsung Rugby III,Consumer,,
224,Film TV promo.,Film,Starsky & Hutch,TV promo.,,
10462,Office Supplies Consumer,Office Supplies,"Harbour Creations Color Coded Labels, Laser Printer Compatible",Consumer,,
14487,Technology Consumer,Technology,"Brother Copy Machine, Color",Consumer,,
1065,Furniture Consumer,Furniture,"Deflect-O Photo Frame, Erganomic",Consumer,,
14233,Technology Corporate,Technology,"Enermax Mouse, Erganomic",Corporate,,
7929,Furniture Corporate,Furniture,"Ikea 3-Shelf Cabinet, Traditional",Corporate,,
11555,Office Supplies Consumer,Office Supplies,Deluxe Heavy-Duty Vinyl Round Ring Binder,Consumer,,
629,Furniture Home Office,Furniture,"Harbour Creations Rocking Chair, Red",Home Office,,
14925,Technology Home Office,Technology,"SanDisk Keyboard, USB",Home Office,,
17734,Technology Home Office,Technology,"Brother Ink, Color",Home Office,,
15526,Technology Consumer,Technology,"Belkin Mouse, Programmable",Consumer,,
3961,Furniture Consumer,Furniture,"Eldon Light Bulb, Black",Consumer,,
18063,Technology Consumer,Technology,Panasonic KX TS208W Corded phone,Consumer,,
8607,Furniture Consumer,Furniture,"Novimex Steel Folding Chair, Black",Consumer,,
4713,Furniture Home Office,Furniture,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,Home Office,,
9983,Furniture Consumer,Furniture,"Leather Task Chair, Black",Consumer,,
9003,Furniture Consumer,Furniture,"Office Star Executive Leather Armchair, Black",Consumer,,
20276,Technology Home Office,Technology,"Logitech Keyboard, Programmable",Home Office,,
56,Beer,Beer,"Budweiser """"""Stand by You""""""",A Budweiser employee who is working at Anheuser-Busch's Cartersville brewery gets called to work to donate canned water for disaster relief. The ad used real employees who worked at the brewery.[114][115],,
2449,Furniture Home Office,Furniture,"Advantus Door Stop, Durable",Home Office,,
11129,Office Supplies Home Office,Office Supplies,Harmony Air Purifier,Home Office,,
10863,Office Supplies Consumer,Office Supplies,"Novimex Color Coded Labels, Adjustable",Consumer,,
10102,Furniture Corporate,Furniture,"Dania Stackable Bookrack, Mobile",Corporate,,
15198,Technology Home Office,Technology,"Motorola Audio Dock, VoIP",Home Office,,
11603,Office Supplies Consumer,Office Supplies,"Sanford Canvas, Blue",Consumer,,
13483,Technology Corporate,Technology,"Belkin Memory Card, Programmable",Corporate,,
20155,Technology Home Office,Technology,"Enermax Keyboard, USB",Home Office,,
6368,Furniture Home Office,Furniture,"SAFCO Rocking Chair, Red",Home Office,,
2839,Furniture Corporate,Furniture,"Hon Coffee Table, Adjustable Height",Corporate,,
3934,Furniture Corporate,Furniture,"Deflect-O Photo Frame, Duo Pack",Corporate,,
17935,Technology Corporate,Technology,Canon imageCLASS 2200 Advanced Copier,Corporate,,
20897,Technology Corporate,Technology,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Corporate,,
16423,Technology Home Office,Technology,"Sharp Ink, Color",Home Office,,
13025,Technology Corporate,Technology,SanDisk Cruzer 32 GB USB Flash Drive,Corporate,,
8518,Furniture Corporate,Furniture,"Harbour Creations Executive Leather Armchair, Adjustable",Corporate,,
6344,Furniture Corporate,Furniture,"Safco Library with Doors, Pine",Corporate,,
4877,Furniture Consumer,Furniture,"Novimex Bag Chairs, Black",Consumer,,
4347,Furniture Consumer,Furniture,"Rubbermaid Door Stop, Erganomic",Consumer,,
17925,Technology Corporate,Technology,"Memorex Memory Card, Erganomic",Corporate,,
8515,Furniture Consumer,Furniture,"Ikea Library with Doors, Metal",Consumer,,
6107,Furniture Corporate,Furniture,"Ikea Stackable Bookrack, Pine",Corporate,,
524,Furniture Corporate,Furniture,"Harbour Creations Steel Folding Chair, Black",Corporate,,
13748,Technology Consumer,Technology,"Apple Smart Phone, Full Size",Consumer,,
21550,Technology Consumer,Technology,"SanDisk Memory Card, Bluetooth",Consumer,,
21350,Technology Consumer,Technology,"Okidata Printer, White",Consumer,,
21009,Technology Home Office,Technology,Lenovo 17-Key USB Numeric Keypad,Home Office,,
13544,Technology Consumer,Technology,"Canon Personal Copier, Laser",Consumer,,
15159,Technology Home Office,Technology,"Belkin Flash Drive, USB",Home Office,,
6686,Furniture Corporate,Furniture,"Ikea Floating Shelf Set, Pine",Corporate,,
21610,Technology Consumer,Technology,"SanDisk Mouse, Erganomic",Consumer,,
7077,Furniture Consumer,Furniture,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Consumer,,
15164,Technology Consumer,Technology,"Belkin Memory Card, USB",Consumer,,
1450,Furniture Corporate,Furniture,"Deflect-O Photo Frame, Duo Pack",Corporate,,
5202,Furniture Corporate,Furniture,"Tenex Clock, Erganomic",Corporate,,
19183,Technology Consumer,Technology,Nokia Lumia 521 (T-Mobile),Consumer,,
2088,Furniture Consumer,Furniture,"Advantus Door Stop, Duo Pack",Consumer,,
8042,Furniture Corporate,Furniture,"Novimex Swivel Stool, Adjustable",Corporate,,
20749,Technology Consumer,Technology,"Samsung Speaker Phone, Full Size",Consumer,,
16907,Technology Consumer,Technology,"Epson Printer, Durable",Consumer,,
2390,Furniture Corporate,Furniture,"Ikea Floating Shelf Set, Metal",Corporate,,
6709,Furniture Home Office,Furniture,"Novimex Swivel Stool, Black",Home Office,,
8812,Furniture Consumer,Furniture,"Novimex Bag Chairs, Set of Two",Consumer,,
5895,Furniture Corporate,Furniture,Dana Swing-Arm Lamps,Corporate,,
10213,Furniture Consumer,Furniture,"SAFCO Swivel Stool, Set of Two",Consumer,,
22227,Travel,Travel,"Tourism Australia """"""Dundee""""""","A trailer for Dundee, a Crocodile Dundee reboot supposedly starring Danny McBride and Chris Hemsworth, reveals itself to be an ad for travel to Australia.[171]",,
11015,Office Supplies Corporate,Office Supplies,Binder Clips by OIC,Corporate,,
10077,Furniture Consumer,Furniture,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",Consumer,,
18234,Technology Home Office,Technology,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",Home Office,,
17487,Technology Corporate,Technology,"Brother Personal Copier, Digital",Corporate,,
7423,Furniture Consumer,Furniture,"Bush Floating Shelf Set, Pine",Consumer,,
13665,Technology Consumer,Technology,"Apple Office Telephone, VoIP",Consumer,,
18611,Technology Corporate,Technology,"Apple Office Telephone, VoIP",Corporate,,
15823,Technology Home Office,Technology,"Brother Personal Copier, Digital",Home Office,,
3277,Furniture Consumer,Furniture,"Bush Library with Doors, Mobile",Consumer,,
14205,Technology Consumer,Technology,"Apple Speaker Phone, with Caller ID",Consumer,,
21298,Technology Corporate,Technology,"Nokia Office Telephone, with Caller ID",Corporate,,
671,Furniture Corporate,Furniture,"Harbour Creations Swivel Stool, Adjustable",Corporate,,
4634,Furniture Consumer,Furniture,"Eldon Light Bulb, Durable",Consumer,,
5620,Furniture Home Office,Furniture,"Hon Bag Chairs, Red",Home Office,,
5250,Furniture Consumer,Furniture,"Dania Floating Shelf Set, Traditional",Consumer,,
1906,Furniture Consumer,Furniture,"Tenex Photo Frame, Durable",Consumer,,
15376,Technology Consumer,Technology,"Canon Wireless Fax, High-Speed",Consumer,,
16593,Technology Consumer,Technology,"Brother Wireless Fax, Laser",Consumer,,
19788,Technology Consumer,Technology,"Enermax Mouse, Erganomic",Consumer,,
506,Furniture Corporate,Furniture,"Harbour Creations Swivel Stool, Red",Corporate,,
16293,Technology Corporate,Technology,"Apple Speaker Phone, Full Size",Corporate,,
19271,Technology Home Office,Technology,"Epson Receipt Printer, White",Home Office,,
12090,Technology Corporate,Technology,"Enermax Keyboard, Bluetooth",Corporate,,
21771,Technology Consumer,Technology,"Samsung Office Telephone, Cordless",Consumer,,
19743,Technology Consumer,Technology,"Canon Copy Machine, High-Speed",Consumer,,
4817,Furniture Corporate,Furniture,"Office Star Executive Leather Armchair, Adjustable",Corporate,,
1857,Furniture Consumer,Furniture,"Rubbermaid Light Bulb, Black",Consumer,,
8629,Furniture Consumer,Furniture,"Deflect-O Door Stop, Erganomic",Consumer,,
10784,Office Supplies Consumer,Office Supplies,"Hamilton Beach Toaster, Black",Consumer,,
12213,Technology Consumer,Technology,"Apple Speaker Phone, with Caller ID",Consumer,,
6225,Furniture Corporate,Furniture,"Harbour Creations Rocking Chair, Black",Corporate,,
21166,Technology Consumer,Technology,"Brother Personal Copier, Color",Consumer,,
11693,Office Supplies Consumer,Office Supplies,"Wilson Jones Index Tab, Recycled",Consumer,,
1896,Furniture Corporate,Furniture,"Office Star Swivel Stool, Adjustable",Corporate,,
19588,Technology Consumer,Technology,"Motorola Signal Booster, VoIP",Consumer,,
15493,Technology Consumer,Technology,"Memorex Router, Bluetooth",Consumer,,
1978,Furniture Consumer,Furniture,Longer-Life Soft White Bulbs,Consumer,,
12038,Soft drink,Soft drink,"Pepsi""Mosquito""","A CGI fly sucks on a drop of Pepsi. He then grows lips and a mouth, and proceeds to sing The Rolling Stone's ""Brown Sugar"", but is later crushed by a Pepsi can. One version has a red-headed teenage boy, while a different version was released with a young Ricky Martin.",,
6617,Furniture Consumer,Furniture,"Ikea Corner Shelving, Metal",Consumer,,
22249,TV series,TV series,The Twilight Zone (CBS All Access) N/A,"After a fake interruption of CBS's Super Bowl telecast, Jordan Peele addresses an empty Mercedes-Benz Stadium, asking viewers to question their reality.[212]",,
15844,Technology Consumer,Technology,"Brother Ink, Laser",Consumer,,
14421,Technology Consumer,Technology,"Nokia Signal Booster, VoIP",Consumer,,
2185,Furniture Consumer,Furniture,"Rubbermaid Frame, Duo Pack",Consumer,,
15303,Technology Consumer,Technology,"Nokia Audio Dock, Full Size",Consumer,,
3259,Furniture Home Office,Furniture,Tensor Brushed Steel Torchiere Floor Lamp,Home Office,,
4881,Furniture Corporate,Furniture,"Novimex Chairmat, Adjustable",Corporate,,
12439,Technology Consumer,Technology,"Memorex Router, Programmable",Consumer,,
5472,Furniture Corporate,Furniture,"Harbour Creations Steel Folding Chair, Black",Corporate,,
12574,Technology Consumer,Technology,"HP Wireless Fax, Laser",Consumer,,
12649,Technology Consumer,Technology,Konftel 250 Conference phone - Charcoal black,Consumer,,
7262,Furniture Consumer,Furniture,"Office Star Rocking Chair, Black",Consumer,,
2803,Furniture Consumer,Furniture,"Chromcraft Coffee Table, with Bottom Storage",Consumer,,
10722,Office Supplies Corporate,Office Supplies,"Eaton Parchment Paper, Multicolor",Corporate,,
10545,Office Supplies Consumer,Office Supplies,"Avery 3-Hole Punch, Clear",Consumer,,
16667,Technology Consumer,Technology,"Belkin Mouse, Bluetooth",Consumer,,
5514,Furniture Consumer,Furniture,"Harbour Creations Chairmat, Black",Consumer,,
10469,Office Supplies Consumer,Office Supplies,"Harbour Creations Color Coded Labels, Adjustable",Consumer,,
12838,Technology Consumer,Technology,"Nokia Headset, Full Size",Consumer,,
22002,Technology Consumer,Technology,"Brother Copy Machine, High-Speed",Consumer,,
11384,Office Supplies Consumer,Office Supplies,"Rogers Trays, Blue",Consumer,,
1590,Furniture Corporate,Furniture,"Rubbermaid Photo Frame, Durable",Corporate,,
4957,Furniture Consumer,Furniture,"Rubbermaid Clock, Durable",Consumer,,
14608,Technology Corporate,Technology,"Belkin Router, USB",Corporate,,
21473,Technology Corporate,Technology,"Hewlett Ink, Digital",Corporate,,
11462,Office Supplies Home Office,Office Supplies,"Boston Sketch Pad, Easy-Erase",Home Office,,
18450,Technology Corporate,Technology,"StarTech Receipt Printer, Wireless",Corporate,,
17216,Technology Corporate,Technology,"Brother Ink, Laser",Corporate,,
8962,Furniture Corporate,Furniture,"Deflect-O Frame, Durable",Corporate,,
12062,Soft drink,Soft drink,"Pepsi """"""This Is the Pepsi""""""","Jimmy Fallon narrates about some of the celebrities who have appeared in Pepsi commercials, with footage of Britney Spears and Michael Jackson. Cindy Crawford re-creates her Pepsi drinking moment, and her teenage son Presley Gerber appears. Kyrie Irving appears as Uncle Drew, and Jeff Gordon also appears.[118][158] This was the lead-in commercial to the halftime show.",,
10355,Office Supplies Consumer,Office Supplies,"Ibico Hole Reinforcements, Recycled",Consumer,,
11428,Office Supplies Consumer,Office Supplies,"Kleencut Box Cutter, Serrated",Consumer,,
7249,Furniture Consumer,Furniture,"Dania Corner Shelving, Metal",Consumer,,
1037,Furniture Corporate,Furniture,"Harbour Creations Bag Chairs, Red",Corporate,,
20440,Technology Home Office,Technology,"Apple Audio Dock, Full Size",Home Office,,
10178,Furniture Consumer,Furniture,"Deflect-O Frame, Erganomic",Consumer,,
21561,Technology Corporate,Technology,SanDisk Cruzer 32 GB USB Flash Drive,Corporate,,
19718,Technology Home Office,Technology,"Logitech Flash Drive, Erganomic",Home Office,,
11655,Office Supplies Consumer,Office Supplies,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Consumer,,
2351,Furniture Home Office,Furniture,"Sauder 3-Shelf Cabinet, Mobile",Home Office,,
10344,Office Supplies Consumer,Office Supplies,"Stockwell Staples, Assorted Sizes",Consumer,,
968,Furniture Consumer,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Consumer,,
9790,Furniture Home Office,Furniture,"Advantus Photo Frame, Erganomic",Home Office,,
7766,Furniture Consumer,Furniture,"Harbour Creations Bag Chairs, Adjustable",Consumer,,
16002,Technology Consumer,Technology,"StarTech Calculator, White",Consumer,,
4819,Furniture Corporate,Furniture,"Novimex Swivel Stool, Red",Corporate,,
7468,Furniture Consumer,Furniture,"Sauder 3-Shelf Cabinet, Mobile",Consumer,,
2821,Furniture Corporate,Furniture,"Tenex Frame, Erganomic",Corporate,,
12805,Technology Consumer,Technology,"Enermax Mouse, USB",Consumer,,
4109,Furniture Corporate,Furniture,SAFCO Arco Folding Chair,Corporate,,
21747,Technology Corporate,Technology,"Enermax Keyboard, Programmable",Corporate,,
16034,Technology Corporate,Technology,"Logitech B530 USB Headset - headset - Full size, Binaural",Corporate,,
10838,Office Supplies Consumer,Office Supplies,"BIC Canvas, Easy-Erase",Consumer,,
4709,Furniture Consumer,Furniture,"Novimex Executive Leather Armchair, Adjustable",Consumer,,
2904,Furniture Consumer,Furniture,"Harbour Creations Steel Folding Chair, Adjustable",Consumer,,
2477,Furniture Consumer,Furniture,"Safco 3-Shelf Cabinet, Pine",Consumer,,
669,Furniture Home Office,Furniture,"Safco Corner Shelving, Metal",Home Office,,
13722,Technology Corporate,Technology,"Enermax Numeric Keypad, Bluetooth",Corporate,,
17395,Technology Consumer,Technology,"Cisco Smart Phone, Cordless",Consumer,,
17429,Technology Consumer,Technology,"HP Wireless Fax, High-Speed",Consumer,,
4625,Furniture Corporate,Furniture,"Harbour Creations Chairmat, Black",Corporate,,
